MOSKVA (Moscow)	Russia	
LONDON	UK	
St Petersburg	Russia	
BERLIN	Germany	
MADRID	Spain	
ROMA	Italy	
KIEV	Ukraine	
PARIS	France	
BUCURESTI (Bucharest)	Romania	
BUDAPEST	Hungary	
Hamburg	Germany	
MINSK	Belarus	
WARSZAWA (Warsaw)	Poland	
BEOGRAD (Belgrade)	Serbia	
WIEN (Vienna)	Austria	
Kharkov	Ukraine	
Barcelona	Spain	
Novosibirsk	Russia	
Nizhny Novgorod	Russia	
Milano (Milan)	Italy	
Ekaterinoburg	Russia	
München (Munich)	Germany	
PRAHA (Prague)	Czech Republic	
Samara	Russia	
Omsk	Russia
SOFIA	Bulgaria	
Dnepropetrovsk	Ukraine	
Kazan	Russia	
Ufa	Russia	
Chelyabinsk	Russia	
Donetsk	Ukraine	
Napoli (Naples)	Italy	
Birmingham	UK	
Perm	Russia	
Rostov-na-Donu	Russia	
Odessa	Ukraine	
Volgograd	Russia	
Köln (Cologne)	Germany	
Torino (Turin)	Italy	
Voronezh	Russia	
Krasnoyarsk	Russia	
Saratov	Russia	
ZAGREB	Croatia	
Zaporozhye	Ukraine	
Lódz	Poland	
Marseille	France	
RIGA	Latvia	
Lvov	Ukraine	
ATHINAI (Athens)	Greece	
Salonika	Greece	
STOCKHOLM	Sweden	
Kraków	Poland	
Valencia	Spain	
AMSTERDAM	Netherlands	
Leeds	UK	
Tolyatti	Russia	
Kryvy Rig	Ukraine	
Sevilla	Spain	
Palermo	Italy	
Ulyanovsk	Russia	
KISHINEV	Moldova	
Genova	Italy	
Izhevsk	Russia	
Frankfurt am Main	Germany	
Krasnodar	Russia	
Wroclaw (Breslau)	Poland	
Glasgow	UK	
Yaroslave	Russia	
Khabarovsk	Russia	
Vladivostok	Russia	
Zaragoza	Spain	
Essen	Germany	
Rotterdam	Netherlands	
Irkutsk	Russia	
Dortmund	Germany	
Stuttgart	Germany	
Barnaul	Russia	
VILNIUS	Lithuania	
Poznan	Poland	
Düsseldorf	Germany	
Novokuznetsk	Russia	
LISBOA (Lisbon)	Portugal	
HELSINKI	Finland	
Málaga	Spain	
Bremen	Germany	
Sheffield	UK	
SARAJEVO	Bosnia	
Penza	Russia	
Ryazan	Russia	
Orenburg	Russia	
Naberezhnye Tchelny	Russia	
Duisburg	Germany	
Lipetsk	Russia	
Hannover	Germany	
Mykolaiv	Ukraine	
Tula	Russia	
OSLO	Norway	
Tyumen	Russia	
KOBENHAVN (Copenhagen)	Denmark	
Kemerovo	Russia	
